Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
235 /api/autoLogin,50,1179,1001,1677,1705,2512,902,2512,0.000%,19.26782,5.74,7.26
237 /api/userCount,50,420,367,581,626,1188,312,1188,0.000%,26.21919,6.68,8.60
234 /v3.0/505343723293899/activities,50,1600,1456,2144,2270,3360,1214,3360,0.000%,14.51379,8.02,10.23
239 /api/userCount,100,1970,924,3720,4211,4858,318,5357,0.000%,17.86671,264.40,21.40
240 /api/theme/question,50,701,654,989,996,1399,408,1399,0.000%,19.14975,257.66,6.64
241 /api/theme/question,50,900,934,1207,1490,2162,409,2162,0.000%,19.63865,264.24,6.81
242 /api/theme/getSummary,50,391,333,463,830,920,307,920,0.000%,18.18843,13.20,6.34
243 /api/theme/getSummary,50,421,326,776,862,1106,304,1106,0.000%,16.32920,11.85,5.69
244 /api/theme/getSummary,50,533,343,1050,1074,1196,304,1196,0.000%,15.88815,11.53,5.54
251 /api/answer,100,1342,1244,1850,1947,1988,974,1988,0.000%,22.22716,6.01,84.85
252 /api/userCount,100,1710,1868,2545,2749,4957,361,6909,0.000%,9.61169,24.22,5.05
253 /api/getReport,50,1444,1193,2161,2302,3380,852,3380,0.000%,5.09580,23.08,2.02
254 /api/userCount,100,1091,914,1810,4019,4048,321,4048,0.000%,10.22704,2.61,3.36
255 /api/registrationValidation,100,1030,860,2459,3152,4147,405,4147,0.000%,9.61076,2.68,4.12
256 /api/otp,100,494,255,1202,1580,2629,226,2629,0.000%,8.42673,2.15,3.20
257 /api/user,100,2867,2920,4706,4981,5082,706,5082,0.000%,6.43335,2.47,3.30
258 /api/mapAnswerToUser,100,1602,1457,2245,2943,2994,625,2994,0.000%,5.98480,3.10,2.58
261 /api/createUserVital,100,10168,2813,21310,27716,28250,361,29296,0.000%,2.21489,16.91,2.60
259 /api/dashboard/userData,50,3246,3009,4837,4901,4963,964,4963,0.000%,2.30404,7.87,0.90
260 /api/getAssessmentList,50,4080,3579,6036,6072,11504,2469,11504,0.000%,1.55821,5.21,0.61
262 /api/getReport,50,4554,4376,5951,6342,7490,2320,7490,0.000%,1.48978,6.75,0.59
263 /api/getAssessmentList,50,5140,4299,9856,9881,11431,2258,11431,0.000%,1.29833,4.35,0.51
266 /api/dashboard/userData,100,12033,9259,22051,23466,24937,2483,28009,0.000%,2.35588,50.33,1.84
264 /api/getAssessmentList,50,6150,4875,9950,10963,11496,1426,11496,0.000%,1.44559,4.83,0.56
265 /api/goal/userGoals,50,7872,7070,11888,12818,13129,4215,13129,0.000%,1.55749,50.80,0.60
267 /api/theme/question,100,3077,2246,5085,6805,7775,1112,7775,0.000%,3.62818,59.34,1.26
