Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,200,1141,669,3345,3570,3929,239,9182,0.000%,19.74724,426.36,16.14
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,200,2428,1962,4082,4505,6663,435,9464,100.000%,15.02065,90.75,94.57
166 /adfs/oauth2/authorize,200,1251,727,3568,3638,4748,53,6293,100.000%,16.24168,54.95,80.80
167 /adfs/oauth2/token?x-client-Ver=2.6.5,200,213,56,292,682,3270,25,3362,100.000%,16.28134,6.28,52.46
169 /UserManager/GetUserPreferencesWithLocation,200,1345,1091,2968,4038,5399,29,6048,5.000%,15.86294,21.05,11.80
168 /iid/register,100,812,593,1012,3503,4116,311,4425,0.000%,8.35213,4.72,5.31
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,100,342,205,769,872,1997,8,3022,0.000%,10.23541,4.11,3.38
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,200,90711,90133,90651,95571,99756,90011,101739,94.000%,1.90049,346.83,0.75
172 /Audit/GetLastPerformCheckListDetails,200,1304,735,3341,3422,6447,248,6879,0.000%,9.22850,7.50,29.02
173 /a,200,2100,1,5877,7967,15571,0,22860,100.000%,7.08441,434.53,6.17
174 /a,100,0,0,0,0,1,0,1,100.000%,5.14245,6.10,0.00
175 /Audit/DownloadImage,100,743,472,1730,2301,3146,70,3574,0.000%,5.00626,122.28,1.39
176 /Audit/GetLastPerformCheckListDetails,100,404,261,697,1139,2316,19,9291,0.000%,5.08518,4.13,1.78
177 /Audit/DownloadImage,100,852,421,1588,2411,9337,19,9586,0.000%,3.85045,89.55,1.07
179 /Audit/DownloadImage,100,881,437,2486,3538,4533,15,4872,0.000%,3.88833,94.97,1.08
178 /Audit/DownloadImage,100,690,385,1142,2978,5721,23,6778,0.000%,3.91083,97.35,1.09
180 /Audit/DownloadImage,100,627,174,1320,2562,7222,18,9429,0.000%,3.95335,79.53,1.10
181 /a,100,0,0,0,0,1,0,1,100.000%,3.96134,4.70,0.00
