Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,500,12395,7049,30917,44809,49743,550,66583,0.000%,7.42832,3.18,0.96
PostDashboardUserData,500,6506,2825,15852,26280,45072,461,49325,0.000%,5.39502,5.31,1.14
AddOrganization,500,8117,2352,24475,30591,48751,310,68977,0.200%,4.96682,4.46,1.16
MapOrganizationUserInviteCode,500,4972,1976,12971,23921,34010,337,53246,0.000%,4.74699,1.92,1.18
SaveFeedbackForQuestions,500,6599,2293,22986,27883,48570,321,54610,0.000%,4.33757,1.29,1.34
GetQuestions,500,6464,2345,19126,26467,42957,555,49948,0.200%,4.40401,64.72,0.64
SaveAnswerForThemes,500,4595,1383,12651,23670,32654,220,75556,0.000%,4.44733,3.24,3.48
GetReports,500,3754,1122,10518,21747,27425,219,54631,0.000%,4.45050,1.06,1.03
GetThemeQuestions,500,5073,1621,12980,24337,33199,255,71001,0.000%,4.34994,48.69,0.66
GetThemeSummaryBYThemeCode,500,4695,1095,12735,24766,42618,215,68956,0.200%,4.38581,1.06,0.67
GetAssessmentList,500,4485,1424,12205,22687,31235,527,54846,0.000%,4.41073,10.97,1.03
MapAnswerToUser,500,5603,1753,18332,24340,33745,213,75583,0.000%,4.48089,0.85,1.12
AddUser,500,4235,977,12573,22418,27755,212,42918,0.000%,4.50357,3.50,1.48
GetAllUsersCount,500,3524,902,9713,14891,42612,212,48585,0.000%,4.52296,1.15,0.61
GetUserByID,500,3144,741,9669,13739,30510,212,43189,0.000%,4.53980,0.86,0.60
PostPasscodes,500,3125,639,9676,12606,27765,214,48680,0.000%,4.55705,0.85,1.01
ChangePasscode,500,1344,338,3283,4669,21001,212,30400,1.400%,4.56421,1.20,0.00
GetPasscodes,500,4422,1439,11372,22225,27891,435,66489,0.000%,4.67534,0.89,0.95
GetUserData,500,2527,580,4875,10441,24775,216,51879,0.000%,4.73983,0.90,1.16
TOTAL,9500,5030,1444,13136,24505,44646,212,75583,0.105%,76.20117,139.71,17.42
