Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,100,296,295,372,387,496,173,496,0.000%,66.09385,1427.02,54.02
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,100,987,922,1405,1471,1519,388,1519,100.000%,49.55401,299.36,311.99
166 /adfs/oauth2/authorize,100,500,330,995,996,999,91,999,100.000%,49.01961,165.82,243.85
167 /adfs/oauth2/token?x-client-Ver=2.6.5,100,223,222,354,380,387,41,387,100.000%,67.43088,26.01,217.24
169 /UserManager/GetUserPreferencesWithLocation,100,235,69,448,461,471,21,511,0.000%,59.66587,73.36,45.19
168 /iid/register,50,373,373,384,385,431,289,431,0.000%,30.80715,17.18,19.59
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,50,21,21,27,29,34,10,34,0.000%,39.18495,15.73,12.93
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,100,66785,66994,67154,67315,68020,64606,68020,0.000%,1.46334,6236.19,0.58
172 /Audit/GetLastPerformCheckListDetails,100,404,265,948,1053,1109,103,1109,0.000%,36.49635,29.65,114.76
173 /a,100,264,1,587,597,1542,0,1555,100.000%,44.82295,2749.26,39.02
174 /a,50,0,0,0,0,0,0,0,100.000%,30.48780,36.14,0.00
175 /Audit/DownloadImage,50,141,73,366,506,734,19,734,0.000%,28.05836,685.32,7.81
176 /Audit/GetLastPerformCheckListDetails,50,116,102,124,144,429,47,429,0.000%,41.91115,34.05,14.65
177 /Audit/DownloadImage,50,73,56,87,88,326,24,326,0.000%,58.68545,1364.78,16.33
179 /Audit/DownloadImage,50,62,57,90,91,92,24,92,0.000%,78.49294,1917.17,21.85
178 /Audit/DownloadImage,50,67,65,90,91,95,20,95,0.000%,74.51565,1854.96,20.74
180 /Audit/DownloadImage,50,69,71,92,92,97,23,97,0.000%,70.72136,1422.78,19.68
181 /a,50,0,0,0,0,1,0,1,100.000%,73.09942,86.66,0.00
182 /Audit/DownloadImage,100,104,90,166,179,181,25,181,0.000%,129.19897,4794.05,53.94
183 /Audit/DownloadImage,50,68,67,90,91,92,36,92,0.000%,66.75567,1630.49,18.58
184 /bag,100,81,56,218,297,318,46,318,0.000%,129.03226,1045.89,23.94
185 /Audit/DownloadImage,100,875,330,1890,1981,2342,29,2639,50.000%,32.85151,1954.86,2046.72
188 /Audit/UploadFile,50,3,0,1,1,149,0,149,100.000%,112.35955,279.58,0.00
187 /Audit/DownloadImage,50,203,191,244,273,302,166,302,0.000%,80.77544,1625.05,22.48
186 /Audit/DownloadImage,50,45,40,61,62,108,31,108,0.000%,117.64706,2873.51,32.74
189 /Audit/DownloadImage,50,46,46,58,60,148,17,148,0.000%,114.15525,2654.78,31.77
190 /Audit/SaveAudit,50,109,113,142,146,164,55,164,0.000%,112.35955,22.60,1258.56
191 /Audit/SaveAudit,50,87,74,128,160,273,48,273,0.000%,142.45014,28.66,1595.61
192 /Audit/SaveAudit,50,134,86,220,577,588,45,588,0.000%,63.61323,12.80,712.54
196 /Audit/SaveAudit,50,128,85,168,577,590,39,590,0.000%,61.95787,12.46,694.00
194 /Audit/SaveAudit,50,95,80,173,190,409,25,409,0.000%,60.31363,12.13,675.58
193 /Audit/SaveAudit,50,152,103,317,357,397,38,397,0.000%,50.50505,10.16,565.72
199 /Audit/SaveAudit,50,145,91,273,360,464,47,464,0.000%,49.90020,10.04,558.94
198 /Audit/SaveAudit,50,155,85,377,399,488,40,488,0.000%,48.07692,9.67,538.52
197 /Audit/SaveAudit,50,121,74,318,407,517,38,517,0.000%,47.43833,9.54,531.36
195 /Audit/SaveAudit,50,85,71,115,130,364,42,364,0.000%,47.43833,9.54,531.36
200 /Audit/SaveAudit,50,100,72,132,143,718,40,718,0.000%,32.70111,6.58,366.29
203 /Audit/UploadFile,100,1379,5,2923,3064,4067,0,4714,100.000%,18.12579,567.62,95.52
204 /Audit/UploadFile,50,5,4,10,12,23,2,23,100.000%,34.34066,85.45,0.00
201 /Audit/DownloadImage,50,81,52,89,126,966,15,966,0.000%,20.71251,416.70,5.76
202 /Audit/DownloadImage,50,58,44,85,121,716,8,716,0.000%,20.85941,519.26,5.81
205 /Audit/SaveChecklist,50,2596,2532,2976,3053,4039,2213,4039,0.000%,9.29023,1.87,92.75
207 /Audit/UploadFile,50,4,4,7,8,9,2,9,100.000%,15.75796,39.21,0.00
208 /Audit/UploadFile,50,3,3,6,7,12,2,12,100.000%,15.76293,39.22,0.00
209 /Audit/UploadFile,50,3,3,6,7,9,2,9,100.000%,15.75299,39.20,0.00
206 /Audit/UploadFile,50,3,3,7,8,10,2,10,100.000%,15.76790,39.23,0.00
213 /Audit/UploadFile,100,58,51,112,125,150,1,995,100.000%,30.51572,1281.81,18.27
210 /Audit/DownloadImage,50,20,19,29,35,51,9,51,0.000%,16.02051,372.57,4.46
212 /Audit/DownloadImage,50,11,10,19,23,30,6,30,0.000%,16.11344,324.17,4.48
211 /Audit/DownloadImage,50,10,10,15,19,28,6,28,0.000%,16.10306,400.86,4.48
214 /Audit/GetLastPerformCheckListDetails,50,51,27,69,70,956,12,956,0.000%,15.88815,12.91,5.76
215 /Audit/UploadFile,50,0,0,1,1,1,0,1,100.000%,16.01025,39.84,0.00
216 /Audit/UploadFile,50,4,4,7,8,22,1,22,100.000%,16.00000,39.81,0.00
217 /Audit/UploadFile,50,3,3,5,5,10,2,10,100.000%,15.98977,39.79,0.00
218 /Audit/UploadFile,50,3,3,6,7,9,2,9,100.000%,15.99488,39.80,0.00
220 /Audit/UploadFile,100,2597,9,5962,7054,9656,2,9753,100.000%,7.76759,24.07,41.26
219 /Audit/DownloadImage,50,11,11,18,20,28,6,28,100.000%,15.96424,3.32,4.44
222 /Audit/GetLastPerformCheckListDetails,50,51,41,65,72,467,13,467,0.000%,15.73812,12.79,5.70
221 /Audit/SaveChecklist,50,5123,5209,7000,7084,9683,2735,9683,0.000%,3.90381,0.79,38.97
223 /Audit/UploadFile,100,10,4,9,33,151,2,151,100.000%,10.21033,25.41,0.00
227 /a,100,17937,1,39030,39556,39861,0,39937,100.000%,2.42489,5204.09,7.53
225 /Audit/SaveChecklist,50,284,80,531,1281,2557,22,2557,0.000%,4.06603,0.82,19.73
226 /log,50,0,0,0,0,1,0,1,100.000%,4.08998,4.85,0.00
224 /portal/api/web/mobileapp,50,397,348,370,399,1364,333,1364,0.000%,3.97867,5.71,1.43
228 /a,50,0,0,0,0,0,0,0,100.000%,4.09668,4.86,0.00
229 /portal/api/kbCategories,50,61,61,65,65,67,55,67,0.000%,4.07598,4.30,2.45
230 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,50,35132,36936,38995,39178,39508,17365,39508,0.000%,1.22739,5257.64,0.48
231 /a,50,0,0,0,1,1,0,1,100.000%,2.15109,2.55,0.00
232 /Audit/GetLastPerformCheckListDetails,100,538,356,945,1008,2697,58,2697,0.000%,4.26021,3.46,13.48
233 /Audit/GetLastPerformCheckListDetails,100,265,171,464,642,1915,54,1915,0.000%,4.78583,3.89,1.73
234 /Audit/UploadFile,100,1,1,6,7,11,0,11,100.000%,5.26898,13.11,0.00
236 /Audit/UploadFile,100,2287,462,4136,6645,10249,3,10650,100.000%,4.36777,52.42,93.10
235 /Audit/UploadFile,50,68,11,376,437,464,2,464,100.000%,2.63435,6.56,0.00
237 /Audit/UploadFile,50,60,8,405,431,452,2,452,100.000%,2.63449,6.56,0.00
238 /Audit/UploadFile,50,54,9,202,427,447,2,447,100.000%,2.63477,6.56,0.00
239 /Audit/SaveChecklist,50,604,514,844,1381,2150,203,2150,0.000%,2.52960,0.51,13.16
240 /Audit/SaveAudit,50,83,28,160,435,715,11,715,0.000%,2.61151,0.53,16.73
243 /Audit/UploadFile,50,0,0,1,1,4,0,4,100.000%,2.67051,6.64,0.00
242 /Audit/UploadFile,50,5,3,8,9,65,1,65,100.000%,2.66966,6.64,0.00
244 /Audit/UploadFile,50,3,3,4,5,14,1,14,100.000%,2.66966,6.64,0.00
241 /Audit/UploadFile,50,3,3,4,4,25,1,25,100.000%,2.66966,6.64,0.00
245 /Audit/SaveChecklist,50,494,504,693,705,877,191,877,0.000%,2.57440,0.52,13.31
