Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,40,223,216,294,298,300,178,300,0.000%,30.79292,664.84,25.17
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,40,452,448,516,518,530,380,530,100.000%,26.82763,161.96,168.85
166 /adfs/oauth2/authorize,40,84,84,96,105,107,68,107,100.000%,35.52398,120.10,176.65
167 /adfs/oauth2/token?x-client-Ver=2.6.5,40,48,50,56,57,68,27,68,100.000%,36.23188,13.98,116.66
169 /UserManager/GetUserPreferencesWithLocation,40,293,126,533,584,611,47,611,0.000%,25.70694,31.59,19.47
168 /iid/register,20,417,413,450,459,462,381,462,0.000%,13.43183,7.47,8.54
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,20,28,18,44,61,103,12,103,0.000%,18.92148,7.59,6.25
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,40,24140,24523,26855,27138,27339,20232,27339,0.000%,1.44587,3494.23,0.57
172 /Audit/GetLastPerformCheckListDetails,40,254,72,365,365,2236,61,2236,0.000%,5.80636,4.72,18.26
173 /a,40,452,1,981,1120,5425,0,5425,100.000%,5.72082,350.89,4.98
174 /a,20,0,0,0,0,0,0,0,100.000%,2.93341,3.48,0.00
