Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,200,1684,646,7725,7821,8072,214,9208,0.000%,19.51220,421.28,15.95
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,200,2671,1602,6507,8551,9982,569,10137,100.000%,18.90359,114.31,119.07
166 /adfs/oauth2/authorize,200,521,248,835,3267,3957,66,4507,100.000%,22.25189,75.34,110.76
167 /adfs/oauth2/token?x-client-Ver=2.6.5,200,107,58,305,334,701,30,1392,100.000%,22.68345,8.75,73.15
169 /UserManager/GetUserPreferencesWithLocation,200,1303,1019,2653,3405,4781,55,5801,1.000%,21.33333,26.66,16.10
168 /iid/register,100,765,415,1740,2656,3546,262,3860,0.000%,11.51676,6.46,7.32
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,100,418,308,802,1090,1615,9,3563,0.000%,13.20306,5.30,4.36
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,200,156447,146847,170864,176882,434682,108108,731592,4.000%,.27304,891.69,0.10
172 /Audit/GetLastPerformCheckListDetails,198,2057,367,6121,7576,21001,53,21158,1.010%,.60840,0.51,1.89
173 /a,198,2149,1,5527,10423,15487,0,34263,100.000%,.61875,37.95,0.54
174 /a,99,0,0,0,0,0,0,1,100.000%,.30945,0.37,0.00
175 /Audit/DownloadImage,99,1025,432,2346,3850,9405,15,13868,0.000%,.30943,7.56,0.09
176 /Audit/GetLastPerformCheckListDetails,99,334,31,453,928,4703,12,9072,0.000%,.30984,0.25,0.11
177 /Audit/DownloadImage,99,945,377,1319,2246,6689,13,32563,0.000%,.31017,7.21,0.09
179 /Audit/DownloadImage,99,638,393,1245,2558,4653,10,6989,0.000%,.31031,7.58,0.09
