Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,1000,3002,3087,4527,4683,6923,477,9677,0.000%,89.75855,118.33,11.57
PostDashboardUserData,1000,10866,10340,15152,15340,15591,1451,15599,0.000%,45.94955,45.19,9.69
AddOrganization,1000,6714,8352,13591,13638,13671,1750,13682,0.000%,45.55186,40.84,10.68
MapOrganizationUserInviteCode,1000,2746,2029,3481,8909,14907,1471,15197,0.000%,47.78059,19.32,11.85
SaveFeedbackForQuestions,1000,3442,3586,4434,4744,5298,1834,8988,0.000%,68.38074,20.29,21.17
GetQuestions,1000,12616,11257,20687,21626,22260,2957,22667,0.000%,33.24800,489.40,4.87
SaveAnswerForThemes,1000,9928,11047,15786,16427,16612,2089,16627,0.000%,34.76810,25.36,27.23
GetReports,1000,4559,3122,9501,10748,14491,2204,16743,0.000%,26.91718,6.41,6.20
GetThemeQuestions,1000,12464,12572,19310,19845,20567,3555,21222,0.000%,22.17492,248.21,3.38
GetThemeSummaryBYThemeCode,1000,11392,11399,16066,16743,17648,2475,20445,0.000%,21.08859,5.03,3.23
GetAssessmentList,1000,16804,16355,21320,21808,22125,4880,22189,0.000%,20.21754,50.79,4.70
MapAnswerToUser,1000,9433,10358,18973,19451,19769,1641,21086,0.000%,31.61456,6.02,7.93
AddUser,1000,2491,1740,3260,6891,17160,1227,17676,0.000%,34.69933,26.94,11.42
GetAllUsersCount,1000,2036,1984,2515,2618,4080,1053,10449,0.000%,63.16720,16.04,8.45
GetUserByID,1000,2290,2201,2679,2727,3087,417,9621,0.000%,81.68600,15.56,10.85
PostPasscodes,1000,1541,1534,1796,1874,2101,211,3073,0.000%,97.95279,18.17,21.71
ChangePasscode,1000,1500,1480,1821,2430,2452,213,5087,0.000%,118.60989,28.26,0.00
GetPasscodes,1000,1540,1527,1731,1768,2533,418,4431,0.000%,143.10246,27.25,29.07
GetUserData,1000,1318,1382,1586,1602,1627,212,1717,0.000%,171.70330,32.70,41.92
TOTAL,19000,6141,3015,15735,18509,21116,211,22667,0.000%,158.76730,298.70,36.31
