Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
user count landing page,1,1189,1189,1189,1189,1189,1189,1189,0.000%,.84104,0.21,0.28
26  ,1,1189,1189,1189,1189,1189,1189,1189,0.000%,.83472,0.21,0.28
sign up page,1,239,239,239,239,239,239,239,0.000%,4.18410,1.17,1.82
29  ,1,239,239,239,239,239,239,239,0.000%,4.16667,1.16,1.81
otp page,1,232,232,232,232,232,232,232,0.000%,4.31034,1.36,1.70
pass code,1,234,234,234,234,234,234,234,0.000%,4.27350,1.09,1.42
finger print login ,1,548,548,548,548,548,548,548,0.000%,1.82482,1.62,0.74
36  ,1,1014,1014,1014,1014,1014,1014,1014,0.000%,.98425,1.43,1.11
home page,1,1098,1098,1098,1098,1098,1098,1098,0.000%,.91075,3.15,0.36
41  ,1,1098,1098,1098,1098,1098,1098,1098,0.000%,.90909,3.15,0.36
assessmentlist,1,643,643,643,643,643,643,643,0.000%,1.55521,5.27,0.62
45  ,1,643,643,643,643,643,643,643,0.000%,1.55280,5.26,0.62
financial assessment intro,1,246,246,246,246,246,246,246,0.000%,4.06504,26.30,1.43
57  ,1,246,246,246,246,246,246,246,0.000%,4.04858,26.20,1.42
assessment questions,1,231,231,231,231,231,231,231,0.000%,4.32900,2.80,1.53
58  ,1,231,231,231,231,231,231,231,0.000%,4.31034,2.79,1.52
assessment,1,929,929,929,929,929,929,929,0.000%,1.07643,0.29,2.00
60  ,1,929,929,929,929,929,929,929,0.000%,1.07527,0.29,2.00
report financial,1,639,639,639,639,639,639,639,0.000%,1.56495,3.99,0.63
61  ,1,639,639,639,639,639,639,639,0.000%,1.56495,3.99,0.63
p & N intro,1,241,241,241,241,241,241,241,0.000%,4.14938,27.53,1.45
65  ,1,241,241,241,241,241,241,241,0.000%,4.11523,27.31,1.44
Assessment question,1,232,232,232,232,232,232,232,0.000%,4.31034,3.29,1.52
69  ,1,232,232,232,232,232,232,232,0.000%,4.29185,3.28,1.51
71  assessment answers,1,918,918,918,918,918,918,918,0.000%,1.08932,0.29,2.05
71  ,1,918,918,918,918,918,918,918,0.000%,1.08932,0.29,2.05
report P & g,1,641,641,641,641,641,641,641,0.000%,1.56006,4.01,0.62
72  ,1,641,641,641,641,641,641,641,0.000%,1.55521,4.00,0.62
social intro,1,249,249,249,249,249,249,249,0.000%,4.01606,24.74,1.41
75  ,1,249,249,249,249,249,249,249,0.000%,4.01606,24.74,1.41
assessment answers,1,491,491,491,491,491,491,491,0.000%,2.03666,0.55,3.78
81  ,1,491,491,491,491,491,491,491,0.000%,2.02840,0.55,3.77
report  ,1,1066,1066,1066,1066,1066,1066,1066,0.000%,.93809,2.39,0.37
82  ,1,1066,1066,1066,1066,1066,1066,1066,0.000%,.93633,2.39,0.37
intellectual intro page,1,244,244,244,244,244,244,244,0.000%,4.09836,24.01,1.44
85  ,1,244,244,244,244,244,244,244,0.000%,4.09836,24.01,1.44
91  save for later,1,445,445,445,445,445,445,445,0.000%,2.24719,0.61,3.49
91  ,1,445,445,445,445,445,445,445,0.000%,2.24215,0.61,3.49
assessment list,1,638,638,638,638,638,638,638,0.000%,1.56740,5.31,0.62
93  ,1,638,638,638,638,638,638,638,0.000%,1.56740,5.31,0.62
assessment after save for later,1,682,682,682,682,682,682,682,0.000%,1.46628,3.63,0.59
95  ,1,682,682,682,682,682,682,682,0.000%,1.46199,3.62,0.58
Assessment answers,2,685,468,903,903,903,468,903,0.000%,.88106,0.24,1.66
97  ,1,468,468,468,468,468,468,468,0.000%,2.13220,0.58,4.04
report,2,638,634,643,643,643,634,643,0.000%,.82102,2.10,0.33
98  ,1,643,643,643,643,643,643,643,0.000%,1.55280,3.99,0.62
occupational intro ,1,253,253,253,253,253,253,253,0.000%,3.95257,23.41,1.39
101  ,1,253,253,253,253,253,253,253,0.000%,3.93701,23.31,1.38
107  ,1,903,903,903,903,903,903,903,0.000%,1.10619,0.30,2.06
108  ,1,634,634,634,634,634,634,634,0.000%,1.57729,4.03,0.63
Goals,1,1268,1268,1268,1268,1268,1268,1268,0.000%,.78864,11.09,0.31
111  ,1,1268,1268,1268,1268,1268,1268,1268,0.000%,.78802,11.08,0.31
 Sweat it out goal,1,714,714,714,714,714,714,714,0.000%,1.40056,5.39,0.62
116  ,1,714,714,714,714,714,714,714,0.000%,1.39665,5.38,0.62
Activity-dancing  ,1,248,248,248,248,248,248,248,0.000%,4.03226,23.81,2.26
 Activity-walking,1,248,248,248,248,248,248,248,0.000%,4.03226,23.81,2.26
Activity-swimming,1,251,251,251,251,251,251,251,0.000%,3.98406,23.53,2.24
132  ,1,747,747,747,747,747,747,747,0.000%,1.33156,23.59,2.24
goals score,1,1283,1283,1283,1283,1283,1283,1283,0.000%,.77942,10.99,0.31
144  ,1,1283,1283,1283,1283,1283,1283,1283,0.000%,.77882,10.98,0.31
mindfulness goal,1,710,710,710,710,710,710,710,0.000%,1.40845,5.42,0.62
145  ,1,710,710,710,710,710,710,710,0.000%,1.40449,5.41,0.62
meditaion activity,1,240,240,240,240,240,240,240,0.000%,4.16667,10.97,2.28
Deep breathing activity,1,244,244,244,244,244,244,244,0.000%,4.09836,10.79,2.26
 progressive relaxation,1,252,252,252,252,252,252,252,0.000%,3.96825,10.45,2.27
150  ,1,736,736,736,736,736,736,736,0.000%,1.35501,10.71,2.27
goals score ,1,1275,1275,1275,1275,1275,1275,1275,0.000%,.78431,11.06,0.31
163  ,1,1275,1275,1275,1275,1275,1275,1275,0.000%,.78431,11.06,0.31
hydration 4 eat fit,1,696,696,696,696,696,696,696,0.000%,1.43678,4.60,0.71
proteins ,1,241,241,241,241,241,241,241,0.000%,4.14938,13.27,2.05
proteins  ,1,239,239,239,239,239,239,239,0.000%,4.18410,13.39,2.07
164  ,1,1176,1176,1176,1176,1176,1176,1176,0.000%,.84746,8.13,1.26
199  goals score overall,1,1261,1261,1261,1261,1261,1261,1261,0.000%,.79302,11.18,0.31
199  ,1,1261,1261,1261,1261,1261,1261,1261,0.000%,.79302,11.18,0.31
vitals screen,1,1089,1089,1089,1089,1089,1089,1089,0.000%,.91827,3.18,0.37
200  ,1,1089,1089,1089,1089,1089,1089,1089,0.000%,.91743,3.18,0.37
linked email id with vital,1,234,234,234,234,234,234,234,0.000%,4.27350,1.24,1.85
202  ,1,234,234,234,234,234,234,234,0.000%,4.23729,1.22,1.83
steps count history,1,619,619,619,619,619,619,619,0.000%,1.61551,2.00,0.94
207  ,1,619,619,619,619,619,619,619,0.000%,1.61290,1.99,0.94
heart rate history,1,347,347,347,347,347,347,347,0.000%,2.88184,3.07,1.67
211  ,1,347,347,347,347,347,347,347,0.000%,2.87356,3.06,1.66
calories burnt history ,1,351,351,351,351,351,351,351,0.000%,2.84900,3.26,1.66
213  ,1,351,351,351,351,351,351,351,0.000%,2.84091,3.25,1.65
distance history,1,345,345,345,345,345,345,345,0.000%,2.89855,3.98,1.68
215  ,1,345,345,345,345,345,345,345,0.000%,2.89017,3.97,1.67
settings page,1,1082,1082,1082,1082,1082,1082,1082,0.000%,.92421,3.20,0.37
217  ,1,1082,1082,1082,1082,1082,1082,1082,0.000%,.92251,3.19,0.37
personal settings,1,247,247,247,247,247,247,247,0.000%,4.04858,2.76,1.55
219  ,1,247,247,247,247,247,247,247,0.000%,4.04858,2.76,1.55
DOB,1,245,245,245,245,245,245,245,0.000%,4.08163,2.78,1.69
220  ,1,245,245,245,245,245,245,245,0.000%,4.06504,2.77,1.68
set height,1,234,234,234,234,234,234,234,0.000%,4.27350,2.91,1.74
222  ,1,234,234,234,234,234,234,234,0.000%,4.27350,2.91,1.74
set weight,1,239,239,239,239,239,239,239,0.000%,4.18410,2.85,1.71
223  ,1,239,239,239,239,239,239,239,0.000%,4.16667,2.84,1.70
226  profile picture change gallary,1,161,161,161,161,161,161,161,0.000%,6.21118,1.58,3.03
226  ,1,161,161,161,161,161,161,161,0.000%,6.17284,1.57,3.01
image upload,1,992,992,992,992,992,992,992,100.000%,1.00806,2.49,0.00
227  ,1,992,992,992,992,992,992,992,100.000%,1.00705,2.49,0.00
logout,1,739,739,739,739,739,739,739,0.000%,1.35318,0.34,0.45
247  ,1,739,739,739,739,739,739,739,0.000%,1.34953,0.34,0.45
user count,1,231,231,231,231,231,231,231,0.000%,4.32900,1.10,1.44
248  ,1,231,231,231,231,231,231,231,0.000%,4.32900,1.10,1.44
login wit h google,1,231,231,231,231,231,231,231,0.000%,4.32900,3.84,1.75
250  ,1,231,231,231,231,231,231,231,0.000%,4.29185,3.81,1.73
check your wellness ,1,230,230,230,230,230,230,230,0.000%,4.34783,3.16,1.53
question intropage,1,247,247,247,247,247,247,247,0.000%,4.04858,24.96,1.42
256  ,1,477,477,477,477,477,477,477,0.000%,2.08768,14.39,1.47
TOTAL,111,576,491,1098,1261,1283,161,1283,1.802%,3.45988,11.64,2.09
