Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
user count landing page,50,928,925,948,971,1026,883,1026,0.000%,24.13127,6.13,8.01
26  ,50,928,925,948,971,1026,883,1026,0.000%,24.07318,6.11,7.99
sign up page,50,252,248,269,282,401,226,401,0.000%,33.60215,9.38,14.64
29  ,50,252,248,269,282,401,226,401,0.000%,33.57958,9.38,14.63
otp page,50,254,245,299,302,322,227,322,0.000%,34.05995,10.74,13.47
pass code,50,264,247,323,337,493,220,493,0.000%,31.82686,8.08,10.57
finger print login ,50,4077,4775,5597,5681,6905,672,6905,0.000%,6.12895,5.44,2.48
36  ,50,4596,5244,6136,6184,7650,1177,7650,0.000%,5.78168,8.42,6.55
home page,50,6644,7243,9678,9685,10405,1590,10405,0.000%,3.09062,10.64,1.23
41  ,50,6644,7243,9678,9685,10405,1590,10405,0.000%,3.09043,10.64,1.23
assessmentlist,50,6044,5654,8837,8994,9760,3007,9760,0.000%,2.70577,9.06,1.08
45  ,50,6044,5654,8837,8994,9760,3007,9760,0.000%,2.70563,9.06,1.08
financial assessment intro,50,2438,2031,3538,4985,7946,812,7946,0.000%,2.91698,18.87,1.02
57  ,50,2438,2031,3538,4985,7946,812,7946,0.000%,2.91579,18.87,1.02
assessment questions,50,994,722,2392,2649,3923,221,3923,0.000%,4.98157,3.22,1.76
58  ,50,994,722,2392,2649,3923,221,3923,0.000%,4.98107,3.22,1.76
assessment,50,1276,1262,1790,1881,3644,454,3644,0.000%,7.31208,1.98,13.58
60  ,50,1276,1262,1790,1881,3644,454,3644,0.000%,7.31101,1.98,13.58
report financial,50,1146,1163,1278,1406,1868,708,1868,0.000%,11.76471,30.01,4.70
61  ,50,1146,1163,1278,1406,1868,708,1868,0.000%,11.76194,30.00,4.70
p & N intro,50,656,697,922,977,1198,272,1198,0.000%,11.92748,79.15,4.18
65  ,50,656,697,922,977,1198,272,1198,0.000%,11.92464,79.13,4.18
Assessment question,50,463,462,660,713,980,223,980,0.000%,13.21004,10.09,4.66
69  ,50,463,462,660,713,980,223,980,0.000%,13.21004,10.09,4.66
71  assessment answers,50,1308,1265,1845,1903,2333,498,2333,0.000%,10.35197,2.80,19.44
71  ,50,1308,1265,1845,1903,2333,498,2333,0.000%,10.35197,2.80,19.44
report P & g,50,1242,1176,1674,1747,1861,771,1861,0.000%,8.81834,22.67,3.52
72  ,50,1242,1176,1674,1747,1861,771,1861,0.000%,8.81834,22.67,3.52
social intro,50,835,890,1151,1208,1334,247,1334,0.000%,9.18611,56.60,3.22
75  ,50,835,890,1151,1208,1334,247,1334,0.000%,9.18442,56.59,3.22
assessment answers,50,1108,1080,1484,1493,1641,601,1641,0.000%,9.39850,2.54,17.47
81  ,50,1108,1080,1484,1493,1641,601,1641,0.000%,9.39673,2.54,17.46
report  ,50,1355,1318,1763,2044,2713,740,2713,0.000%,7.70179,19.65,3.08
82  ,50,1355,1318,1763,2044,2713,740,2713,0.000%,7.69941,19.65,3.08
intellectual intro page,50,1388,1065,2483,3231,4974,267,4974,0.000%,4.83699,28.34,1.70
85  ,50,1388,1065,2483,3231,4974,267,4974,0.000%,4.83606,28.33,1.70
91  save for later,50,4419,3979,8562,9958,11016,941,11016,0.000%,2.85714,0.77,4.44
91  ,50,4419,3979,8562,9958,11016,941,11016,0.000%,2.85714,0.77,4.44
assessment list,50,5500,5457,7702,7888,8272,1120,8272,0.000%,2.26943,7.60,0.90
93  ,50,5500,5457,7702,7888,8272,1120,8272,0.000%,2.26943,7.60,0.90
assessment after save for later,50,3312,3226,5087,5220,6326,737,6326,0.000%,2.30904,5.72,0.92
95  ,50,3312,3226,5087,5220,6326,737,6326,0.000%,2.30894,5.72,0.92
Assessment answers,100,3850,4582,6786,7444,8292,484,8893,0.000%,2.96903,0.80,5.58
97  ,50,4538,5282,7026,7444,8292,532,8292,0.000%,2.30128,0.62,4.36
report,100,3527,3020,7171,7397,7857,828,7923,0.000%,2.66603,6.83,1.06
98  ,50,2483,1441,4902,5715,6391,828,6391,0.000%,2.56819,6.60,1.03
occupational intro ,50,1524,912,3264,4001,5547,384,5547,0.000%,3.09693,18.34,1.09
101  ,50,1524,912,3264,4001,5547,384,5547,0.000%,3.09693,18.34,1.09
107  ,50,3161,2033,5763,6477,8893,484,8893,0.000%,2.70343,0.73,5.04
108  ,50,4572,4677,7397,7472,7923,900,7923,0.000%,2.49750,6.39,1.00
Goals,50,7274,6524,11465,11540,11785,2348,11785,0.000%,1.85419,26.14,0.73
111  ,50,7274,6524,11465,11540,11785,2348,11785,0.000%,1.85412,26.14,0.73
 Sweat it out goal,50,4637,4101,7790,8935,9275,856,9275,0.000%,1.49544,5.76,0.66
116  ,50,4637,4101,7790,8935,9275,856,9275,0.000%,1.49544,5.76,0.66
Activity-dancing  ,50,4076,3477,7559,7706,11274,669,11274,0.000%,1.35623,8.01,0.76
 Activity-walking,50,3760,3359,6626,7759,11473,259,11473,0.000%,1.32373,7.82,0.74
Activity-swimming,50,4349,5060,6571,9144,11373,241,11373,0.000%,1.36348,8.05,0.77
132  ,50,12185,13451,18788,19961,23048,2890,23048,0.000%,1.13417,20.10,1.91
goals score,50,9331,10559,12585,12592,12790,1798,12790,0.000%,1.34796,19.01,0.53
144  ,50,9331,10559,12585,12592,12790,1798,12790,0.000%,1.34793,19.01,0.53
mindfulness goal,50,4385,5105,6756,6989,7163,755,7163,0.000%,1.48960,5.74,0.66
145  ,50,4385,5105,6756,6989,7163,755,7163,0.000%,1.48934,5.73,0.66
meditaion activity,50,3986,5051,6194,6475,8004,475,8004,0.000%,1.23833,3.26,0.68
Deep breathing activity,50,3878,5039,6755,7065,7955,379,7955,0.000%,1.08122,2.85,0.60
 progressive relaxation,50,4274,5122,7496,7722,8054,400,8054,0.000%,1.01920,2.68,0.58
150  ,50,12139,12765,18274,18736,20437,3333,20437,0.000%,.95857,7.57,1.60
goals score ,50,10196,10946,14366,14401,14516,2621,14516,0.000%,.86286,12.16,0.34
163  ,50,10196,10946,14366,14401,14516,2621,14516,0.000%,.86286,12.16,0.34
hydration 4 eat fit,50,5953,6624,8643,8677,9124,1240,9124,0.000%,.91349,2.92,0.45
proteins ,50,6454,6688,7919,7952,11739,899,11739,0.000%,.77967,2.49,0.39
proteins  ,50,7099,6979,8120,9070,15520,538,15520,0.000%,.65556,2.10,0.32
164  ,50,19507,19104,22473,23209,33930,3782,33930,0.000%,.62880,6.03,0.93
199  goals score overall,50,16396,14795,25212,26498,30687,3859,30687,6.000%,.47002,6.25,0.19
199  ,50,16396,14795,25212,26498,30687,3859,30687,6.000%,.47002,6.25,0.19
vitals screen,50,21981,23006,30669,30855,30905,303,30905,22.000%,.37541,1.08,0.15
200  ,50,21981,23006,30669,30855,30905,303,30905,22.000%,.37541,1.08,0.15
linked email id with vital,50,21091,20868,29740,30698,30721,7069,30721,10.000%,.37175,0.12,0.16
202  ,50,21091,20868,29740,30698,30721,7069,30721,10.000%,.37175,0.12,0.16
steps count history,50,613,602,656,665,940,528,940,0.000%,.39037,0.48,0.23
207  ,50,613,602,656,665,940,528,940,0.000%,.39037,0.48,0.23
heart rate history,50,321,320,339,342,354,304,354,0.000%,.39225,0.41,0.23
211  ,50,321,320,339,342,354,304,354,0.000%,.39225,0.41,0.23
calories burnt history ,50,334,328,355,382,408,313,408,0.000%,.39220,0.45,0.23
213  ,50,334,328,355,382,408,313,408,0.000%,.39220,0.45,0.23
distance history,50,341,328,368,377,660,311,660,0.000%,.39209,0.51,0.23
215  ,50,341,328,368,377,660,311,660,0.000%,.39209,0.51,0.23
settings page,50,26569,30644,30700,30745,30874,313,30874,70.000%,.37599,0.60,0.14
217  ,50,26569,30644,30700,30745,30874,313,30874,70.000%,.37599,0.60,0.14
personal settings,50,14016,17199,21736,21796,23664,771,23664,0.000%,.38904,0.26,0.15
219  ,50,14016,17199,21736,21796,23664,771,23664,0.000%,.38904,0.26,0.15
DOB,50,12474,6373,30260,30527,30745,246,30745,6.000%,.39852,0.27,0.16
220  ,50,12474,6373,30260,30527,30745,246,30745,6.000%,.39852,0.27,0.16
set height,50,5040,1910,19577,20419,30670,272,30670,2.000%,.45363,0.31,0.19
222  ,50,5040,1910,19577,20419,30670,272,30670,2.000%,.45363,0.31,0.19
set weight,50,2448,848,4412,5288,21551,236,21551,0.000%,.56389,0.38,0.23
223  ,50,2448,848,4412,5288,21551,236,21551,0.000%,.56389,0.38,0.23
226  profile picture change gallary,50,259,166,422,464,3115,94,3115,0.000%,.73259,0.19,0.36
226  ,50,259,166,422,464,3115,94,3115,0.000%,.73258,0.19,0.36
image upload,50,794,723,815,837,3673,667,3673,100.000%,.72942,1.80,0.00
227  ,50,794,723,815,837,3673,667,3673,100.000%,.72941,1.80,0.00
logout,50,1601,717,3683,3694,22041,225,22041,0.000%,.72964,0.19,0.24
247  ,50,1601,717,3683,3694,22041,225,22041,0.000%,.72956,0.19,0.24
user count,50,779,239,712,739,11960,220,11960,0.000%,1.07018,0.27,0.36
248  ,50,779,239,712,739,11960,220,11960,0.000%,1.07016,0.27,0.36
login wit h google,50,513,228,299,665,10664,218,10664,0.000%,1.42902,1.27,0.58
250  ,50,513,228,299,665,10664,218,10664,0.000%,1.42902,1.27,0.58
check your wellness ,50,443,227,239,243,10987,219,10987,0.000%,2.03666,1.48,0.72
question intropage,50,481,240,278,287,5247,228,5247,0.000%,3.62293,22.33,1.27
256  ,50,924,469,509,518,16234,448,16234,0.000%,2.01670,13.90,1.42
TOTAL,5550,4835,1662,14168,21551,30667,94,33930,3.892%,20.41139,67.40,12.34
